date,relevant_issuer,X7,X8,X9,X10
2023-01-01,ARTO,0.0057570823,0.331809,0,1
2023-01-01,BBCA,0.5108943,0.06857006,9,1
2023-01-01,BBNI,0.99166745,0.0009176371,1,0
2023-01-01,BBRI,0.41001007,0.16117989,6,2
2023-01-01,BBTN,0.18148601,0.034193672,1,0
2023-01-01,BMRI,0.6761577,0.022143308,7,0
2023-01-01,BRIS,0.27039376,0.1713157,2,1
2023-01-01,GOTO,0.27517498,0.23395129,14,12
2023-01-02,ARTO,0.22790587,0.20899606,4,3
2023-01-02,BBCA,0.2330344,0.16617262,11,8
2023-01-02,BBNI,0.36410272,0.12985198,3,1
2023-01-02,BBRI,0.15097687,0.09386815,10,5
2023-01-02,BBTN,0.03621172,0.24516883,0,2
2023-01-02,BMRI,0.25640824,0.10994134,5,2
2023-01-02,BRIS,0.16685183,0.27351052,4,8
2023-01-02,GOTO,0.15916383,0.14222181,14,12
2023-01-03,ARTO,0.14095667,0.23465136,1,2
2023-01-03,BBCA,0.28057337,0.19244982,11,8
2023-01-03,BBNI,0.2047029,0.0048200586,2,0
2023-01-03,BBRI,0.20401935,0.105222516,14,7
2023-01-03,BBTN,0.3750643,0.16559796,13,4
2023-01-03,BMRI,0.40207195,0.03481266,7,1
2023-01-03,BRIS,0.24292664,0.15146904,23,14
2023-01-03,GOTO,0.15065266,0.14976011,13,15
2023-01-04,ARTO,0.054550085,0.5401731,0,4
2023-01-04,BBCA,0.21304998,0.22782136,17,21
2023-01-04,BBNI,0.16583121,0.257857,1,2
2023-01-04,BBRI,0.140942,0.28807834,9,20
2023-01-04,BBTN,0.28523812,0.32205734,10,13
2023-01-04,BMRI,0.34176603,0.16875137,6,3
2023-01-04,BRIS,0.1870934,0.23016483,15,13
2023-01-04,GOTO,0.19349115,0.15006317,19,14
2023-01-05,ARTO,0.08827086,0.2749914,1,8
2023-01-05,BBCA,0.15163915,0.24074385,15,24
2023-01-05,BBNI,0.08836712,0.28826478,1,5
2023-01-05,BBRI,0.19182724,0.25651094,19,25
2023-01-05,BBTN,0.19684465,0.20645176,4,4
2023-01-05,BMRI,0.08760966,0.31248102,1,9
2023-01-05,BRIS,0.16435649,0.32674384,6,10
2023-01-05,GOTO,0.15031156,0.2405436,13,25
2023-01-06,ARTO,0.353594,0.25684774,8,6
2023-01-06,BBCA,0.12713064,0.10716351,11,9
2023-01-06,BBNI,0.15629636,0.18137337,2,2
2023-01-06,BBRI,0.20744607,0.18581055,15,13
2023-01-06,BBTN,0.40630764,0.27639356,16,9
2023-01-06,BMRI,0.20772095,0.14797837,4,2
2023-01-06,BRIS,0.12130045,0.33630928,5,12
2023-01-06,GOTO,0.21150702,0.24418606,20,21
2023-01-07,ARTO,0.20503469,0.5688799,1,5
2023-01-07,BBCA,0.16660735,0.20166516,4,4
2023-01-07,BBNI,0.02920595,0.21907513,0,1
2023-01-07,BBRI,0.0851819,0.21605185,1,3
2023-01-07,BBTN,0.377737,0.08555067,2,0
2023-01-07,BMRI,0.2871018,0.15856712,2,1
2023-01-07,BRIS,0.1602449,0.14801317,1,1
2023-01-07,GOTO,0.20341957,0.100442216,7,2
2023-01-08,ARTO,0.029627096,0.2584288,0,2
2023-01-08,BBCA,0.13748115,0.12607144,5,6
2023-01-08,BBNI,0.096886285,0.024488335,0,0
2023-01-08,BBRI,0.21726629,0.12862718,7,4
2023-01-08,BBTN,0.41226205,0.038072288,2,0
2023-01-08,BMRI,0.3451706,0.034199562,1,0
2023-01-08,BRIS,0.0022002396,0.20262387,0,1
2023-01-08,GOTO,0.17270234,0.121485114,8,7
2023-01-09,ARTO,0.19919823,0.3799296,7,13
2023-01-09,BBCA,0.15462503,0.113391094,9,6
2023-01-09,BBNI,0.12989867,0.090021595,0,0
2023-01-09,BBRI,0.21688055,0.25829095,10,14
2023-01-09,BBTN,0.27005106,0.23752095,6,6
2023-01-09,BMRI,0.25103202,0.1061265,3,1
2023-01-09,BRIS,0.16632825,0.254562,1,4
2023-01-09,GOTO,0.23497613,0.18279532,22,18
2023-01-10,ARTO,0.2768776,0.32396087,9,9
2023-01-10,BBCA,0.2004391,0.28644413,18,27
2023-01-10,BBNI,0.15720044,0.20760344,4,7
2023-01-10,BBRI,0.23380953,0.23270321,27,24
2023-01-10,BBTN,0.18735014,0.39939576,12,31
2023-01-10,BMRI,0.19260901,0.32252005,9,15
2023-01-10,BRIS,0.12456017,0.25836742,4,9
2023-01-10,GOTO,0.24480185,0.2169288,27,25
2023-01-11,ARTO,0.17433666,0.36054072,8,19
2023-01-11,BBCA,0.18807828,0.20055859,19,18
2023-01-11,BBNI,0.10591872,0.3367097,3,7
2023-01-11,BBRI,0.19184409,0.30154285,16,32
2023-01-11,BBTN,0.23822384,0.2035682,5,3
2023-01-11,BMRI,0.15704979,0.19001092,6,8
2023-01-11,BRIS,0.24011454,0.34158286,4,5
2023-01-11,GOTO,0.25510746,0.2606418,23,23
2023-01-12,ARTO,0.2058767,0.2088717,15,13
2023-01-12,BBCA,0.13468133,0.21448255,11,21
2023-01-12,BBNI,0.14183879,0.4014331,3,7
2023-01-12,BBRI,0.15442224,0.32349098,13,25
2023-01-12,BBTN,0.22394456,0.25117457,7,7
2023-01-12,BMRI,0.26112223,0.2740372,10,10
2023-01-12,BRIS,0.22933723,0.2585962,3,5
2023-01-12,GOTO,0.24131021,0.19544773,26,18
2023-01-13,ARTO,0.15148026,0.32035485,3,7
2023-01-13,BBCA,0.23071396,0.21885507,23,18
2023-01-13,BBNI,0.2675761,0.18482596,3,1
2023-01-13,BBRI,0.22332676,0.19515459,15,12
2023-01-13,BBTN,0.26201463,0.2899008,5,5
2023-01-13,BMRI,0.45662743,0.17356795,15,3
2023-01-13,BRIS,0.23719883,0.21611387,4,3
2023-01-13,GOTO,0.23606826,0.14893225,24,13
2023-01-14,ARTO,0.51928747,0.28820032,2,1
2023-01-14,BBCA,0.26063922,0.14997761,13,7
2023-01-14,BBNI,0.28113893,0.02778607,2,0
2023-01-14,BBRI,0.33157846,0.08822218,8,1
2023-01-14,BMRI,0.31497192,0.14699863,3,1
2023-01-14,BRIS,0.41773018,0.038613748,3,0
2023-01-14,GOTO,0.22201103,0.17293389,13,9
2023-01-15,ARTO,0.2299982,0.35473073,1,2
2023-01-15,BBCA,0.19998345,0.06477177,9,2
2023-01-15,BBNI,0.42261705,0.17577091,4,2
2023-01-15,BBRI,0.2255168,0.0464459,4,1
2023-01-15,BBTN,0.013097377,0.26230502,0,1
